#parameters	elev_error_ave	elev_error_std	azimuth_error_ave	azimuth_error_std
125-145 35-55 35-55 35-55	1.2509	5.28413	-3.50358	11.7913
125-145 35-55 35-55 65-85	0.173448	10.5067	12.9675	27.5107
125-145 35-55 65-85 35-55	-1.64474	9.25322	-4.47658	22.3301
125-145 35-55 65-85 65-85	1.79641	7.8662	-6.10931	30.9135
125-145 35-55 65-85 95-115	3.72619	8.09471	10.3135	37.3256
125-145 35-55 95-115 35-55	-3.41863	8.31097	-5.85811	32.8366
125-145 35-55 95-115 65-85	3.23531	7.26026	-13.2493	36.3078
125-145 35-55 95-115 95-115	2.60898	10.5266	2.76333	31.7047
125-145 5-25 35-55 35-55	3.03534	2.51886	1.10716	6.49123
125-145 5-25 35-55 65-85	5.56708	2.539	-13.879	18.0838
125-145 5-25 35-55 95-115	6.19229	5.69966	-27.5085	31.2776
125-145 5-25 65-85 35-55	-1.83462	6.34635	26.1574	23.6534
125-145 5-25 65-85 65-85	9.87713	5.29078	1.59183	26.4956
125-145 5-25 65-85 95-115	8.30513	7.20288	-14.77	32.1199
125-145 5-25 95-115 35-55	7.14786	3.51134	21.2443	29.4887
125-145 5-25 95-115 65-85	3.10066	8.56833	21.2406	27.8143
125-145 5-25 95-115 95-115	10.8981	7.22757	-18.3009	37.4036
35-55 35-55 35-55 35-55	2.12987	4.38017	0.720291	7.76551
35-55 35-55 35-55 65-85	6.00597	6.25555	-2.16879	13.8868
35-55 35-55 35-55 95-115	3.11946	12.7426	-7.88183	22.8676
35-55 35-55 65-85 35-55	-0.491059	8.33936	-2.23204	11.6162
35-55 35-55 65-85 65-85	0.532311	10.6735	4.87657	15.7571
35-55 35-55 65-85 95-115	2.72855	12.1649	-1.92053	17.661
35-55 35-55 95-115 35-55	-3.14378	11.2725	-2.26906	23.9496
35-55 35-55 95-115 65-85	-3.00434	17.3862	-0.850938	18.2663
35-55 35-55 95-115 95-115	-0.322097	14.1781	1.23173	21.876
35-55 5-25 35-55 35-55	2.99495	4.7412	0.654096	2.86902
35-55 5-25 35-55 65-85	14.3189	10.011	3.23376	5.18083
35-55 5-25 35-55 95-115	2.95983	4.24858	16.3522	22.3993
35-55 5-25 65-85 35-55	13.6831	6.00413	3.28149	2.60245
35-55 5-25 65-85 65-85	10.9876	9.23152	-0.348376	10.8253
35-55 5-25 65-85 95-115	7.56663	13.087	13.7482	25.8541
35-55 5-25 95-115 35-55	11.0892	12.6146	7.14555	6.82914
35-55 5-25 95-115 65-85	14.9412	11.5801	10.436	7.17753
35-55 5-25 95-115 95-115	11.192	12.0651	-2.03661	20.3114
65-85 35-55 35-55 35-55	4.25198	3.05815	-0.697192	5.33935
65-85 35-55 35-55 65-85	2.63458	6.53368	5.23137	16.4972
65-85 35-55 35-55 95-115	3.30956	9.20841	-7.52352	18.7924
65-85 35-55 65-85 35-55	1.42033	6.08061	-0.994881	17.2188
65-85 35-55 65-85 65-85	1.51621	10.0599	-3.73085	19.3072
65-85 35-55 65-85 95-115	0.980003	12.2978	2.59344	18.8707
65-85 35-55 95-115 35-55	-2.15491	5.34169	4.92681	26.5005
65-85 35-55 95-115 65-85	3.79512	8.85183	-1.71696	23.4371
65-85 35-55 95-115 95-115	1.30205	14.0171	-0.0449799	21.3754
65-85 5-25 35-55 35-55	4.06477	5.03569	0.366263	3.67196
65-85 5-25 35-55 65-85	5.52856	5.59552	2.13642	10.6789
65-85 5-25 65-85 35-55	11.2706	5.08203	-0.36866	1.97512
65-85 5-25 65-85 65-85	12.3365	7.15117	2.95712	10.8913
65-85 5-25 65-85 95-115	10.9438	11.2481	-3.32171	18.7751
65-85 5-25 95-115 35-55	13.8007	10.3511	7.2972	11.6356
65-85 5-25 95-115 95-115	15.8389	9.16258	5.65163	20.5578
95-115 35-55 35-55 35-55	2.43244	4.31144	-0.237653	7.22358
95-115 35-55 35-55 65-85	0.618415	7.31398	5.38764	16.2704
95-115 35-55 35-55 95-115	-2.92971	6.50303	2.71711	23.9517
95-115 35-55 65-85 65-85	1.48877	10.5562	1.98089	25.1937
95-115 35-55 65-85 95-115	2.87179	7.08981	3.20581	31.3646
95-115 35-55 95-115 35-55	0.393273	5.66286	-6.97118	24.1202
95-115 35-55 95-115 65-85	1.30312	11.8721	-2.45847	35.6727
95-115 35-55 95-115 95-115	3.86828	12.887	-0.0474886	31.3635
95-115 5-25 35-55 35-55	4.62095	5.03862	0.541375	8.25746
95-115 5-25 35-55 65-85	7.47365	4.27049	-8.31755	12.4456
95-115 5-25 35-55 95-115	9.76237	7.54807	-14.6644	17.9688
95-115 5-25 65-85 35-55	6.90332	5.87334	5.20033	11.0176
95-115 5-25 65-85 65-85	8.76779	7.0075	-0.895887	17.7656
95-115 5-25 65-85 95-115	20.277	5.71076	-1.87908	14.0182
95-115 5-25 95-115 35-55	5.03131	6.38499	2.24058	11.168
95-115 5-25 95-115 65-85	11.7535	7.39776	5.50016	21.128
95-115 5-25 95-115 95-115	15.7025	11.0662	-3.82451	25.2166
