#parameters	elev_error_ave	elev_error_std	azimuth_error_ave	azimuth_error_std
125-145 35-55 35-55 35-55	0.836918	6.0555	-6.11085	22.4409
125-145 35-55 35-55 65-85	-1.20903	12.2154	10.0648	63.7851
125-145 35-55 65-85 35-55	-6.7007	14.0199	-37.3605	63.7536
125-145 35-55 65-85 65-85	0.628633	9.82964	-1.80362	37.5796
125-145 35-55 65-85 95-115	3.74716	7.972	12.8883	39.5365
125-145 35-55 95-115 35-55	-4.38322	12.1628	-33.619	60.8401
125-145 35-55 95-115 65-85	2.55333	7.75129	-8.33964	42.0063
125-145 35-55 95-115 95-115	1.80817	11.1431	2.46627	36.955
125-145 5-25 35-55 35-55	3.03534	2.51886	1.10716	6.49123
125-145 5-25 35-55 65-85	5.10099	2.88446	5.02761	53.8432
125-145 5-25 35-55 95-115	4.37137	8.24586	24.8612	83.969
125-145 5-25 65-85 35-55	-0.292083	6.53905	-41.684	76.9829
125-145 5-25 65-85 65-85	9.146	6.66646	4.71076	43.4387
125-145 5-25 65-85 95-115	6.70145	9.09991	32.2843	78.9994
125-145 5-25 95-115 35-55	6.23991	4.92641	1.53394	66.2324
125-145 5-25 95-115 65-85	3.42533	8.25021	-4.10869	59.6977
125-145 5-25 95-115 95-115	9.52263	7.90518	-16.4308	60.5822
35-55 35-55 35-55 35-55	2.12987	4.38017	0.720291	7.76551
35-55 35-55 35-55 65-85	6.00597	6.25555	-2.16879	13.8868
35-55 35-55 35-55 95-115	-0.555891	16.0661	1.46408	61.0073
35-55 35-55 65-85 35-55	-0.491059	8.33936	-2.23204	11.6162
35-55 35-55 65-85 65-85	0.532311	10.6735	4.87657	15.7571
35-55 35-55 65-85 95-115	2.72855	12.1649	-1.92053	17.661
35-55 35-55 95-115 35-55	-4.68301	13.0786	-9.84336	41.8603
35-55 35-55 95-115 65-85	-3.00434	17.3862	-0.850938	18.2663
35-55 35-55 95-115 95-115	-0.322097	14.1781	1.23173	21.876
35-55 5-25 35-55 35-55	3.30586	5.06673	5.70331	26.3296
35-55 5-25 35-55 65-85	13.9867	10.1336	6.65172	22.9908
35-55 5-25 35-55 95-115	0.686028	5.85986	-52.245	88.2924
35-55 5-25 65-85 35-55	13.997	7.93603	33.3243	63.8508
35-55 5-25 65-85 65-85	11.7033	9.54313	-3.51205	53.5733
35-55 5-25 65-85 95-115	5.5018	12.9041	-20.6268	76.5789
35-55 5-25 95-115 35-55	13.6614	12.765	-37.8191	73.7277
35-55 5-25 95-115 65-85	12.251	13.34	-19.5019	91.4843
35-55 5-25 95-115 95-115	5.16368	13.7689	17.4504	99.008
65-85 35-55 35-55 35-55	4.25198	3.05815	-0.697192	5.33935
65-85 35-55 35-55 65-85	2.63458	6.53368	5.23137	16.4972
65-85 35-55 35-55 95-115	0.815088	12.7264	-2.05144	50.3655
65-85 35-55 65-85 35-55	1.42033	6.08061	-0.994881	17.2188
65-85 35-55 65-85 65-85	1.51621	10.0599	-3.73085	19.3072
65-85 35-55 65-85 95-115	-1.50706	14.1189	16.954	48.8467
65-85 35-55 95-115 35-55	-2.15491	5.34169	4.92681	26.5005
65-85 35-55 95-115 65-85	3.79512	8.85183	-1.71696	23.4371
65-85 35-55 95-115 95-115	1.30205	14.0171	-0.0449799	21.3754
65-85 5-25 35-55 35-55	4.06477	5.03569	0.366263	3.67196
65-85 5-25 35-55 65-85	5.52856	5.59552	2.13642	10.6789
65-85 5-25 65-85 35-55	11.2706	5.08203	-0.36866	1.97512
65-85 5-25 65-85 65-85	12.6115	8.80906	10.961	48.0151
65-85 5-25 65-85 95-115	9.37851	13.1515	42.9526	89.2631
65-85 5-25 95-115 35-55	10.6708	12.875	-27.2743	70.1331
65-85 5-25 95-115 95-115	12.8782	11.6873	14.3043	63.6334
95-115 35-55 35-55 35-55	2.43244	4.31144	-0.237653	7.22358
95-115 35-55 35-55 65-85	0.405578	7.41403	8.08158	25.5306
95-115 35-55 35-55 95-115	-3.01396	6.20612	-13.3269	55.6383
95-115 35-55 65-85 65-85	1.78238	10.68	4.12602	29.524
95-115 35-55 65-85 95-115	2.13582	7.1493	11.8365	40.4869
95-115 35-55 95-115 35-55	0.105169	5.90833	-10.7514	34.3954
95-115 35-55 95-115 65-85	0.212367	12.6012	-10.4465	45.855
95-115 35-55 95-115 95-115	3.86828	12.887	-0.0474886	31.3635
95-115 5-25 35-55 35-55	4.97345	5.62457	-2.34129	22.7084
95-115 5-25 35-55 65-85	7.35976	4.20482	-1.06203	35.4026
95-115 5-25 35-55 95-115	9.63165	7.24876	1.04132	52.5425
95-115 5-25 65-85 35-55	6.64752	5.96193	0.66023	27.8803
95-115 5-25 65-85 65-85	8.18778	9.37248	8.93357	59.5405
95-115 5-25 65-85 95-115	9.82976	11.4987	90.6826	85.1642
95-115 5-25 95-115 35-55	3.40252	7.69502	-21.3831	60.3745
95-115 5-25 95-115 65-85	10.837	8.21995	-20.3683	62.7459
95-115 5-25 95-115 95-115	15.4547	11.7542	1.40264	37.3053
