elevation	error1	error2
0.1	0	0
0.2	0	0
0.3	-0.0628209	0
0.4	-0.0627708	0
0.5	0	0.0627293
0.6	0	0.0626793
0.7	-0.0626324	0.0626266
0.8	-0.0625933	0.0625769
0.9	-0.0625507	0.0625347
1	-0.0624944	0.0624902
1.1	-0.124903	0.0624374
1.2	-0.062416	0.124789
1.3	-0.124727	0.124684
1.4	-0.124652	0.124615
1.5	-0.124554	0.124515
1.6	-0.124471	0.186645
1.7	-0.186574	0.186491
1.8	-0.124297	0.186378
1.9	-0.186319	0.186229
2	-0.186198	0.24813
2.1	-0.248091	0.185967
2.2	-0.247938	0.247781
2.3	-0.247781	0.247632
2.4	-0.309519	0.247442
2.5	-0.309329	0.309089
2.6	-0.309132	0.308902
2.7	-0.308943	0.370424
2.8	-0.37048	0.308478
2.9	-0.370253	0.369921
3	-0.370026	0.369699
3.1	-0.369804	0.431019
3.2	-0.369586	0.430759
3.3	-0.43096	0.430506
3.4	-0.492185	0.43019
3.5	-0.491896	0.429938
3.6	-0.491614	0.49103
3.7	-0.552782	0.490743
3.8	-0.552454	0.490459
3.9	-0.55213	0.551409
4	-0.613161	0.551093
4.1	-0.612813	0.550781
4.2	-0.612461	0.55047
4.3	-0.673366	0.611248
4.4	-0.672987	0.610904
4.5	-0.611512	0.671665
4.6	-0.672324	0.73228
4.7	-0.671949	0.731864
4.8	-0.732676	0.731476
4.9	-0.73228	0.731077
5	-0.79291	0.730697
5.1	-0.792487	0.791106
5.2	-0.792167	0.851564
5.3	-0.791736	0.851123
5.4	-0.852244	0.850676
5.5	-0.912689	0.850244
5.6	-0.912219	0.849806
5.7	-0.911864	0.910104
5.8	-0.972213	0.90965
5.9	-0.971707	0.969758
6	-1.03198	0.96928
6.1	-1.03159	1.02942
6.2	-1.03107	1.02892
6.3	-1.09125	1.02843
6.4	-1.09084	1.08849
6.5	-1.09031	1.08797
6.6	-1.15039	1.08747
6.7	-1.14999	1.14743
6.8	-1.21	1.14692
6.9	-1.14903	1.20681
7	-1.20901	1.20628
7.1	-1.26894	1.20576
7.2	-1.2685	1.26557
7.3	-1.32838	1.26504
7.4	-1.32794	1.32479
7.5	-1.32735	1.32424
7.6	-1.32692	1.38394
7.7	-1.3867	1.38339
7.8	-1.38625	1.44304
7.9	-1.44599	1.44248
8	-1.44553	1.44207
8.1	-1.50521	1.44152
8.2	-1.50474	1.5011
8.3	-1.56439	1.50055
8.4	-1.56391	1.56008
8.5	-1.6235	1.55954
8.6	-1.62303	1.61902
8.7	-1.68256	1.61849
8.8	-1.6821	1.67793
8.9	-1.74161	1.61753
9	-1.74113	1.67698
9.1	-1.74064	1.7364
9.2	-1.80011	1.73586
9.3	-1.79963	1.79525
9.4	-1.85905	1.79473
9.5	-1.85857	1.79434
9.6	-1.8581	1.85371
9.7	-1.91748	1.85319
9.8	-1.91702	1.91254
9.9	-1.91656	1.97185
10	-2.03587	1.91167
10.1	-2.03539	1.97099
10.2	-2.03493	2.03029
10.3	-2.09425	2.02982
10.4	-2.09379	2.02948
10.5	-2.09334	2.08878
10.6	-2.15262	2.08835
10.7	-2.21205	2.14764
10.8	-2.2116	2.14733
10.9	-2.27086	2.14693
11	-2.27042	2.20622
11.1	-2.26999	2.26552
11.2	-2.32937	2.26523
11.3	-2.38862	2.26488
11.4	-2.3882	2.32418
11.5	-2.38779	2.38349
11.6	-2.44715	2.38325
11.7	-2.50637	2.38295
11.8	-2.50598	2.44228
11.9	-2.50561	2.44208
12	-2.56496	2.50142
12.1	-2.56459	2.56078
12.2	-2.62382	2.50102
12.3	-2.62348	2.5604
12.4	-2.68282	2.61981
12.5	-2.6825	2.67919
12.6	-2.68219	2.67908
12.7	-2.80109	2.67897
12.8	-2.80079	2.73842
12.9	-2.8005	2.73837
13	-2.85985	2.79785
13.1	-2.85959	2.85736
13.2	-2.85934	2.85736
13.3	-2.97824	2.85737
13.4	-2.97801	2.85741
13.5	-3.03739	2.917
13.6	-3.03718	2.97662
13.7	-3.03699	2.9767
13.8	-3.09641	3.03637
13.9	-3.09622	3.09607
14	-3.21517	3.03671
14.1	-3.21505	3.09646
14.2	-3.21492	3.15624
14.3	-3.27437	3.15648
14.4	-3.2743	3.21633
14.5	-3.33376	3.2166
14.6	-3.33372	3.2765
14.7	-3.39323	3.33647
14.8	-3.3932	3.33682
14.9	-3.3932	3.39684
15	-3.45274	3.39725
15.1	-3.51233	3.39781
15.2	-3.57192	3.45795
15.3	-3.57198	3.45845
15.4	-3.63161	3.51867
15.5	-3.63173	3.51922
15.6	-3.69138	3.57953
15.7	-3.69153	3.63991
15.8	-3.75124	3.64055
15.9	-3.75143	3.70102
16	-3.81118	3.70172
16.1	-3.81142	3.7623
16.2	-3.87121	3.82292
16.3	-3.8715	3.82372
16.4	-3.93132	3.88447
16.5	-3.9912	3.88535
16.6	-3.99155	3.94619
16.7	-4.05147	4.00711
16.8	-4.05187	4.0081
16.9	-4.11185	4.06914
17	-4.11231	4.07021
17.1	-4.17234	4.13137
17.2	-4.2324	4.13251
17.3	-4.23294	4.19382
17.4	-4.29306	4.25519
17.5	-4.29367	4.25647
17.6	-4.35385	4.31798
17.7	-4.35452	4.31932
17.8	-4.41477	4.38097
17.9	-4.47505	4.38242
18	-4.47581	4.44421
18.1	-4.53618	4.5061
18.2	-4.59659	4.50769
18.3	-4.59745	4.56975
18.4	-4.65791	4.57144
18.5	-4.65885	4.63363
18.6	-4.7194	4.6354
18.7	-4.78	4.69779
18.8	-4.78102	4.69967
18.9	-4.84172	4.7622
19	-4.90245	4.82483
19.1	-4.9036	4.82687
19.2	-4.96442	4.8897
19.3	-5.02529	4.89186
19.4	-5.02655	4.95487
19.5	-5.08751	4.95713
19.6	-5.08841	5.08046
19.7	-5.08978	5.14378
19.8	-5.15087	5.14625
19.9	-5.21202	5.2098
20	-5.27321	5.2124
20.1	-5.27478	5.27611
20.2	-5.33605	5.27884
20.3	-5.39741	5.34279
20.4	-5.39912	5.3456
20.5	-5.46057	5.40978
20.6	-5.5221	5.47408
20.7	-5.58369	5.47713
20.8	-5.58558	5.54164
20.9	-5.64729	5.54481
21	-5.6486	5.67005
21.1	-5.65059	5.67337
21.2	-5.71246	5.7384
21.3	-5.77439	5.80357
21.4	-5.83641	5.80713
21.5	-5.8386	5.87259
21.6	-5.90074	5.87627
21.7	-5.96293	5.94197
21.8	-6.02522	5.94579
21.9	-6.02762	6.01175
22	-6.0293	6.13861
22.1	-6.09173	6.14274
22.2	-6.15427	6.20912
22.3	-6.21688	6.21341
22.4	-6.21959	6.28011
22.5	-6.28232	6.28454
22.6	-6.34513	6.35154
22.7	-6.40804	6.41868
22.8	-6.47103	6.42338
22.9	-6.47406	6.49083
23	-6.47609	6.55682
23.1	-6.53929	6.6246
23.2	-6.60256	6.69254
23.3	-6.66591	6.69777
23.4	-6.66923	6.76607
23.5	-6.73277	6.77143
23.6	-6.79638	6.84004
23.7	-6.86008	6.90887
23.8	-6.86247	6.97595
23.9	-6.86614	7.0451
24	-6.93005	7.05102
24.1	-6.99408	7.12054
24.2	-7.0582	7.19029
24.3	-7.1224	7.19653
24.4	-7.18671	7.26661
24.5	-7.25112	7.27304
24.6	-7.19358	7.40522
24.7	-7.25815	7.47591
24.8	-7.3228	7.48275
24.9	-7.38756	7.55381
25	-7.45242	7.62513
25.1	-7.51738	7.63232
25.2	-7.58247	7.70399
25.3	-7.58719	7.77591
25.4	-7.5904	7.84554
25.5	-7.65572	7.9179
25.6	-7.72118	7.92572
25.7	-7.78672	7.99851
25.8	-7.85239	8.07153
25.9	-7.91818	8.07972
26	-7.98411	8.15317
26.1	-7.92706	8.28928
26.2	-7.99316	8.29791
26.3	-8.05936	8.3721
26.4	-8.12566	8.44655
26.5	-8.19212	8.45557
26.6	-8.25866	8.53047
26.7	-8.32535	8.60564
26.8	-8.32937	8.74386
26.9	-8.39624	8.75358
27	-8.46323	8.82952
27.1	-8.53038	8.90576
27.2	-8.53677	8.91588
27.3	-8.60412	8.99261
27.4	-8.67167	9.0696
27.5	-8.6761	9.21013
27.6	-8.74384	9.22094
27.7	-8.81168	9.29882
27.8	-8.87968	9.37698
27.9	-8.94782	9.38825
28	-9.01609	9.46691
28.1	-9.08452	9.54593
28.2	-9.1531	9.62521
28.3	-9.1581	9.70086
28.4	-9.22689	9.78077
28.5	-9.29584	9.86098
28.6	-9.36491	9.94154
28.7	-9.37287	10.0225
28.8	-9.44225	10.0353
28.9	-9.51175	10.1168
29	-9.51728	10.2627
29.1	-9.58704	10.3449
29.2	-9.65694	10.4275
29.3	-9.727	10.4414
29.4	-9.79722	10.5245
29.5	-9.86761	10.608
29.6	-9.93812	10.6919
29.7	-10.0088	10.7761
29.8	-10.015	10.9254
29.9	-10.086	10.9406
30	-10.1571	11.0258
30.1	-10.2284	11.1115
30.2	-10.2999	11.1975
30.3	-10.3715	11.2839
30.4	-10.4433	11.3707
30.5	-10.5153	11.4579
30.6	-10.5222	11.6108
30.7	-10.5944	11.6988
30.8	-10.6669	11.7873
30.9	-10.7395	11.8762
31	-10.8123	11.8939
31.1	-10.8853	11.9835
31.2	-10.9584	12.0734
31.3	-11.0318	12.1638
31.4	-11.1053	12.2546
31.5	-11.1131	12.4118
31.6	-11.1869	12.5035
31.7	-11.2609	12.5957
31.8	-11.3351	12.6883
31.9	-11.4095	12.7813
32	-11.4841	12.8748
32.1	-11.5589	12.9687
32.2	-11.6339	13.0631
32.3	-11.7091	13.2317
32.4	-11.7178	13.394
32.5	-11.7933	13.49
32.6	-11.8689	13.5865
32.7	-11.9449	13.6834
32.8	-12.021	13.7808
32.9	-12.0973	13.8787
33	-12.1739	13.9771
33.1	-12.2507	14.1513
33.2	-12.3276	14.2508
33.3	-12.4675	14.3508
33.4	-12.545	14.4513
33.5	-12.6226	14.5523
33.6	-12.6327	14.798
33.7	-12.7107	14.9004
33.8	-12.7889	15.0031
33.9	-12.8674	15.1065
34	-12.946	15.2875
34.1	-13.0249	15.392
34.2	-13.1041	15.4971
34.3	-13.1834	15.6806
34.4	-13.263	15.7869
34.5	-13.3429	15.8937
34.6	-13.423	16.0797
34.7	-13.5033	16.1878
34.8	-13.5838	16.2964
34.9	-13.6646	16.4849
35	-13.7456	16.5948
35.1	-13.8903	16.7851
35.2	-13.9719	16.8964
35.3	-14.0537	17.0884
35.4	-14.1358	17.201
35.5	-14.2181	17.3949
35.6	-14.3006	17.5089
35.7	-14.3834	17.7046
35.8	-14.4665	17.9015
35.9	-14.5498	18.0176
36	-14.6334	18.2163
36.1	-14.7173	18.4161
