elevation	error1	error2
0.1	0	-1.63257
0.2	0	-2.06932
0.3	0	-2.38002
0.4	0	-2.56527
0.5	0	-2.81286
0.6	0	-2.9973
0.7	0	-3.11923
0.8	0	-3.17886
0.9	0	-3.36294
1	0	-3.42226
1.1	0	-3.48148
1.2	0	-3.60301
1.3	0	-3.662
1.4	4.07142	-3.78318
1.5	4.19403	-3.78025
1.6	4.25428	-3.90118
1.7	4.31377	-3.89818
1.8	4.37386	-4.01885
1.9	4.4332	-4.01578
2	4.49315	-4.07478
2.1	4.55233	-4.13306
2.2	4.61214	-4.19191
2.3	4.60924	-4.25069
2.4	4.73085	-4.24751
2.5	4.72788	-4.30619
2.6	4.78746	-4.30365
2.7	4.78448	-4.36224
2.8	4.84321	-4.35905
2.9	4.90264	-4.41755
3	4.89959	-4.41499
3.1	4.95893	-4.47341
3.2	4.95586	-4.53178
3.3	4.9528	-4.5292
3.4	5.07352	-4.526
3.5	5.0704	-4.52347
3.6	5.0673	-4.58172
3.7	5.12637	-4.57919
3.8	5.12325	-4.63739
3.9	5.18224	-4.63485
4	5.17911	-4.69298
4.1	5.17601	-4.69046
4.2	5.23488	-4.68796
4.3	5.23177	-4.74603
4.4	5.22866	-4.74354
4.5	5.22633	-4.80217
4.6	5.22325	-4.7997
4.7	5.282	-4.85768
4.8	5.27892	-4.85523
4.9	5.3376	-4.85278
5	5.33451	-4.85037
5.1	5.33144	-4.84798
5.2	5.32916	-4.9065
5.3	5.32611	-4.90413
5.4	5.38467	-4.90179
5.5	5.38163	-4.89948
5.6	5.44013	-4.89719
5.7	5.37637	-4.95565
5.8	5.43485	-4.95339
5.9	5.43186	-4.95116
6	5.49027	-4.94894
6.1	5.42668	-5.00738
6.2	5.48506	-5.0052
6.3	5.48213	-5.00305
6.4	5.47994	-5.06146
6.5	5.47705	-5.05934
6.6	5.53537	-5.05725
6.7	5.53319	-5.11566
6.8	5.53034	-5.05368
6.9	5.5282	-5.11209
7	5.52539	-5.11009
7.1	5.58365	-5.10814
7.2	5.52052	-5.16654
7.3	5.57877	-5.10479
7.4	5.5767	-5.1632
7.5	5.57398	-5.16135
7.6	5.57195	-5.21977
7.7	5.56927	-5.15818
7.8	5.56729	-5.21663
7.9	5.62549	-5.21489
8	5.56272	-5.21359
8.1	5.62091	-5.21193
8.2	5.619	-5.27039
8.3	5.61644	-5.20908
8.4	5.61455	-5.26758
8.5	5.67274	-5.266
8.6	5.61022	-5.26486
8.7	5.6684	-5.26339
8.8	5.66658	-5.26229
8.9	5.72476	-5.26088
9	5.6624	-5.31946
9.1	5.66064	-5.31844
9.2	5.71882	-5.31712
9.3	5.65661	-5.31615
9.4	5.71482	-5.3149
9.5	5.71312	-5.314
9.6	5.71146	-5.3727
9.7	5.70928	-5.31198
9.8	5.70766	-5.37071
9.9	5.70605	-5.36992
10	5.76429	-5.36888
10.1	5.70243	-5.36812
10.2	5.7009	-5.42695
10.3	5.75916	-5.36651
10.4	5.75769	-5.42536
10.5	5.75621	-5.42475
10.6	5.7543	-5.42395
10.7	5.75288	-5.42338
10.8	5.7515	-5.42282
10.9	5.80982	-5.42215
11	5.80847	-5.42166
11.1	5.80714	-5.48075
11.2	5.74575	-5.48031
11.3	5.80414	-5.42027
11.4	5.80289	-5.47946
11.5	5.80168	-5.47912
11.6	5.80047	-5.53835
11.7	5.85892	-5.47848
11.8	5.85777	-5.47825
11.9	5.85665	-5.53758
12	5.7956	-5.53741
12.1	5.79454	-5.53728
12.2	5.85308	-5.53714
12.3	5.85208	-5.53707
12.4	5.8511	-5.53703
12.5	5.85014	-5.5966
12.6	5.84921	-5.59665
12.7	5.90786	-5.53716
12.8	5.90698	-5.59683
12.9	5.90613	-5.59699
13	5.9053	-5.59717
13.1	5.84472	-5.59736
13.2	5.84398	-5.65722
13.3	5.90278	-5.59796
13.4	5.90207	-5.59827
13.5	5.9014	-5.65828
13.6	5.90076	-5.65866
13.7	5.90016	-5.65908
13.8	5.89959	-5.65954
13.9	5.89903	-5.71974
14	5.95803	-5.66075
14.1	5.95755	-5.66131
14.2	5.95709	-5.66193
14.3	5.95666	-5.72232
14.4	5.95627	-5.723
14.5	5.9559	-5.72372
14.6	5.95557	-5.72449
14.7	5.95527	-5.7253
14.8	5.95501	-5.78594
14.9	5.95477	-5.78683
15	5.95457	-5.78776
15.1	6.01393	-5.72918
15.2	6.01381	-5.73017
15.3	6.01371	-5.7911
15.4	6.01362	-5.7922
15.5	6.01359	-5.79331
15.6	6.0136	-5.79448
15.7	6.01362	-5.79566
15.8	6.01368	-5.79691
15.9	6.01378	-5.85821
16	6.01392	-5.85954
16.1	6.01408	-5.86093
16.2	6.07383	-5.86234
16.3	6.07407	-5.8638
16.4	6.07434	-5.86529
16.5	6.07465	-5.92697
16.6	6.07498	-5.9286
16.7	6.07536	-5.93023
16.8	6.07577	-5.9319
16.9	6.07623	-5.93363
17	6.07671	-5.93539
17.1	6.07724	-5.9372
17.2	6.0778	-5.93903
17.3	6.07838	-6.00131
17.4	6.07903	-6.00325
17.5	6.13922	-6.00526
17.6	6.13994	-6.0073
17.7	6.14068	-6.00938
17.8	6.14147	-6.0115
17.9	6.1423	-6.01368
18	6.14315	-6.0159
18.1	6.14405	-6.01816
18.2	6.145	-6.08111
18.3	6.14598	-6.08347
18.4	6.20656	-6.08589
18.5	6.20762	-6.08837
18.6	6.20872	-6.09088
18.7	6.20986	-6.09345
18.8	6.21105	-6.09606
18.9	6.21227	-6.09872
19	6.21354	-6.10141
19.1	6.27442	-6.10417
19.2	6.27577	-6.10696
19.3	6.27718	-6.10981
19.4	6.27861	-6.17375
19.5	6.28009	-6.17671
19.6	6.22151	-6.23985
19.7	6.22304	-6.24293
19.8	6.28424	-6.24608
19.9	6.28589	-6.24927
20	6.28757	-6.25252
20.1	6.2893	-6.25578
20.2	6.29106	-6.25913
20.3	6.29287	-6.26251
20.4	6.35442	-6.26593
20.5	6.35631	-6.26944
20.6	6.35826	-6.27298
20.7	6.36026	-6.27657
20.8	6.36232	-6.2802
20.9	6.42415	-6.28387
21	6.36584	-6.34807
21.1	6.36799	-6.35191
21.2	6.37021	-6.35579
21.3	6.37247	-6.42155
21.4	6.37476	-6.42559
21.5	6.43691	-6.42967
21.6	6.43933	-6.4338
21.7	6.4418	-6.43797
21.8	6.4443	-6.4422
21.9	6.44686	-6.44652
22	6.4486	-6.5116
22.1	6.45123	-6.51604
22.2	6.4539	-6.52055
22.3	6.45664	-6.52508
22.4	6.51938	-6.52968
22.5	6.52221	-6.53432
22.6	6.52511	-6.53906
22.7	6.52805	-6.54381
22.8	6.53104	-6.54865
22.9	6.59415	-6.55353
23	6.53616	-6.61956
23.1	6.53929	-6.6246
23.2	6.54246	-6.62968
23.3	6.60582	-6.63484
23.4	6.60911	-6.64005
23.5	6.61248	-6.64531
23.6	6.61589	-6.65064
23.7	6.61934	-6.65604
23.8	6.62168	-6.72285
23.9	6.62525	-6.72839
24	6.62882	-6.73404
24.1	6.6325	-6.73967
24.2	6.69649	-6.74542
24.3	6.7003	-6.75121
24.4	6.70413	-6.75705
24.5	6.70804	-6.76294
24.6	6.71066	-6.83067
24.7	6.71464	-6.83673
24.8	6.71869	-6.84287
24.9	6.72277	-6.84909
25	6.78744	-6.91939
25.1	6.79168	-6.92579
25.2	6.79595	-6.93227
25.3	6.80032	-6.93877
25.4	6.80324	-7.00747
25.5	6.8077	-7.01418
25.6	6.81221	-7.02094
25.7	6.81676	-7.02781
25.8	6.8821	-7.03471
25.9	6.8868	-7.04168
26	6.89157	-7.04874
26.1	6.83396	-7.11827
26.2	6.89963	-7.12549
26.3	6.90457	-7.13278
26.4	6.90953	-7.14017
26.5	6.91458	-7.1476
26.6	6.98067	-7.15507
26.7	6.98585	-7.16268
26.8	6.92831	-7.2331
26.9	6.93359	-7.24088
27	7.00002	-7.24871
27.1	7.00542	-7.25662
27.2	7.01092	-7.26457
27.3	7.01647	-7.27263
27.4	7.08331	-7.28078
27.5	7.02583	-7.35217
27.6	7.03155	-7.36047
27.7	7.09871	-7.36885
27.8	7.10457	-7.37735
27.9	7.11051	-7.38588
28	7.11652	-7.39448
28.1	7.18411	-7.40318
28.2	7.19029	-7.47855
28.3	7.13283	-7.55115
28.4	7.13909	-7.56021
28.5	7.20706	-7.56935
28.6	7.21349	-7.57858
28.7	7.21995	-7.58787
28.8	7.28832	-7.59722
28.9	7.295	-7.60669
29	7.23757	-7.68036
29.1	7.24431	-7.69003
29.2	7.31309	-7.69975
29.3	7.32	-7.70957
29.4	7.327	-7.71948
29.5	7.33404	-7.72946
29.6	7.40332	-7.73951
29.7	7.41053	-7.74968
29.8	7.35316	-7.82459
29.9	7.42277	-7.90318
30	7.43019	-7.91375
30.1	7.43767	-7.92441
30.2	7.44524	-7.93513
30.3	7.51538	-7.94592
30.4	7.52312	-7.95681
30.5	7.53096	-7.9678
30.6	7.47359	-8.04411
30.7	7.54416	-8.05531
30.8	7.55219	-8.06661
30.9	7.56032	-8.07797
31	7.63131	-8.15889
31.1	7.63961	-8.17055
31.2	7.64798	-8.18231
31.3	7.65645	-8.19411
31.4	7.72802	-8.20603
31.5	7.67071	-8.284
31.6	7.67934	-8.2962
31.7	7.68812	-8.30841
31.8	7.76017	-8.39116
31.9	7.76911	-8.40372
32	7.77815	-8.41631
32.1	7.85066	-8.42908
32.2	7.85991	-8.44185
32.3	7.86922	-8.45477
32.4	7.81188	-8.53451
32.5	7.88495	-8.61893
32.6	7.89446	-8.63232
32.7	7.90408	-8.6458
32.8	7.91373	-8.65939
32.9	7.98745	-8.67299
33	7.99734	-8.68673
33.1	8.00733	-8.77263
33.2	8.0174	-8.78669
33.3	8.09175	-8.80082
33.4	8.10204	-8.81505
33.5	8.11242	-8.82942
33.6	8.05503	-8.9844
33.7	8.12991	-8.99916
33.8	8.14053	-9.01399
33.9	8.15125	-9.02889
34	8.22664	-9.04396
34.1	8.23756	-9.13251
34.2	8.24858	-9.14787
34.3	8.25969	-9.16333
34.4	8.3358	-9.17884
34.5	8.34716	-9.2685
34.6	8.35858	-9.28435
34.7	8.37009	-9.30035
34.8	8.44689	-9.31643
34.9	8.45869	-9.40722
35	8.47055	-9.4236
35.1	8.48249	-9.44009
35.2	8.56003	-9.53181
35.3	8.57223	-9.54864
35.4	8.58453	-9.56556
35.5	8.5969	-9.58258
35.6	8.60936	-9.67547
35.7	8.68779	-9.69286
35.8	8.70053	-9.71031
35.9	8.71342	-9.80408
36	8.7263	-9.82196
36.1	8.80552	-9.9164
36.2	8.81869	-9.9346
36.3	8.83198	-9.95287
36.4	8.84536	-10.0483
36.5	8.92534	-10.0669
36.6	8.93899	-10.0857
36.7	8.95273	-10.1821
36.8	8.96657	-10.2011
36.9	8.98053	-10.2983
37	9.06148	-10.3177
37.1	9.07567	-10.4156
37.2	9.09	-10.4354
37.3	9.10437	-10.4553
37.4	9.11888	-10.5542
37.5	9.20089	-10.5744
37.6	9.21566	-10.674
37.7	9.23053	-10.6947
37.8	9.24551	-10.795
37.9	9.26058	-10.816
38	9.3436	-10.9171
38.1	9.35898	-10.9385
38.2	9.37447	-11.0403
38.3	9.39	-11.1427
38.4	9.47913	-11.0913
38.5	9.56334	-11.1942
38.6	9.57942	-11.2165
38.7	9.59566	-11.3202
38.8	9.61193	-11.3428
38.9	9.62831	-11.4474
39	9.64485	-11.5524
39.1	9.73034	-11.5756
39.2	9.74717	-11.6814
39.3	9.83883	-11.713
39.4	9.85596	-11.7368
39.5	9.87322	-11.8437
39.6	9.8906	-11.9511
39.7	9.97759	-12.0591
39.8	9.99523	-12.0839
39.9	10.0887	-12.1169
40	10.1067	-12.226
40.1	10.1248	-12.3357
40.2	10.1431	-12.4459
40.3	10.1614	-12.4716
40.4	10.3266	-12.5061
40.5	10.3454	-12.6174
40.6	10.3643	-12.7293
40.7	10.3833	-12.8416
40.8	10.4795	-12.8774
40.9	10.4989	-12.9907
41	10.5184	-13.1044
41.1	10.538	-13.2187
41.2	10.6355	-13.2557
41.3	10.7267	-13.3709
41.4	10.7469	-13.4866
41.5	10.7671	-13.6029
41.6	10.866	-13.6411
41.7	10.8867	-13.7582
41.8	10.9075	-13.9645
41.9	11.0073	-14.0039
42	11.0285	-14.1226
42.1	11.0497	-14.2419
42.2	11.1506	-14.2821
42.3	11.1722	-14.4922
42.4	11.2739	-14.5332
42.5	11.2959	-14.6544
42.6	11.318	-14.8669
42.7	11.4207	-14.909
42.8	11.5163	-15.1232
42.9	11.62	-15.1659
43	11.6429	-15.3818
43.1	11.7473	-15.4252
43.2	11.7706	-15.6428
43.3	11.7941	-15.8613
43.4	11.8996	-15.906
43.5	11.9234	-16.1262
43.6	12.0297	-16.2652
43.7	12.1364	-16.4048
43.8	12.1609	-16.6278
43.9	12.2684	-16.7689
44	12.2934	-16.9938
44.1	12.4017	-17.1365
44.2	12.3518	-17.3632
44.3	12.4608	-17.5072
44.4	12.5703	-17.6518
44.5	12.5961	-17.8811
44.6	12.7064	-18.124
44.7	12.8172	-18.2708
44.8	12.8436	-18.6006
44.9	12.9553	-18.749
45	13.0674	-18.9961
45.1	13.0945	-19.3299
45.2	13.2075	-19.5794
45.3	13.3209	-19.8302
45.4	13.4349	-20.082
45.5	13.4724	-20.3348
45.6	13.5005	-20.7756
45.7	13.6156	-21.0311
