elevation	error1	error2
0.1	0	0
0.2	0	0
0.3	0.0628209	0
0.4	0.0627707	0
0.5	0	-0.0627293
0.6	0	-0.0626793
0.7	0.0626323	-0.0626266
0.8	0.0625933	-0.0625712
0.9	0.0625506	-0.0625403
1	0.0624999	-0.0624846
1.1	0.124903	-0.0624374
1.2	0.0624104	-0.124789
1.3	0.124727	-0.124695
1.4	0.124652	-0.12461
1.5	0.124554	-0.124515
1.6	0.124476	-0.186639
1.7	0.186584	-0.186486
1.8	0.124297	-0.186373
1.9	0.186319	-0.186224
2	0.186198	-0.24813
2.1	0.248096	-0.185962
2.2	0.247932	-0.247786
2.3	0.247786	-0.247637
2.4	0.309519	-0.247441
2.5	0.309323	-0.309084
2.6	0.309137	-0.308902
2.7	0.308943	-0.370419
2.8	0.370479	-0.308478
2.9	0.370257	-0.369916
3	0.370025	-0.369699
3.1	0.369808	-0.431023
3.2	0.369586	-0.430764
3.3	0.430955	-0.430506
3.4	0.492195	-0.430185
3.5	0.491895	-0.429943
3.6	0.491609	-0.491025
3.7	0.552772	-0.490747
3.8	0.552449	-0.490463
3.9	0.552125	-0.551409
4	0.613165	-0.551098
4.1	0.612812	-0.550781
4.2	0.612461	-0.550469
4.3	0.67337	-0.611247
4.4	0.672991	-0.610904
4.5	0.611502	-0.67167
4.6	0.672324	-0.73228
4.7	0.671944	-0.731878
4.8	0.732676	-0.73148
4.9	0.73228	-0.731077
5	0.792918	-0.730683
5.1	0.792487	-0.791102
5.2	0.792171	-0.851563
5.3	0.791741	-0.851118
5.4	0.852239	-0.850685
5.5	0.912693	-0.85024
5.6	0.91221	-0.849814
5.7	0.911854	-0.910113
5.8	0.972208	-0.90965
5.9	0.971707	-0.969753
6	1.03198	-0.96928
6.1	1.03159	-1.02942
6.2	1.03106	-1.02893
6.3	1.09124	-1.02845
6.4	1.09084	-1.08848
6.5	1.09031	-1.08798
6.6	1.1504	-1.08747
6.7	1.14997	-1.14744
6.8	1.21	-1.14691
6.9	1.14902	-1.20681
7	1.20901	-1.20628
7.1	1.26895	-1.20575
7.2	1.2685	-1.26556
7.3	1.32839	-1.26503
7.4	1.32793	-1.32479
7.5	1.32735	-1.32424
7.6	1.32691	-1.38395
7.7	1.3867	-1.38338
7.8	1.38624	-1.44304
7.9	1.44598	-1.44248
8	1.44552	-1.44207
8.1	1.5052	-1.44153
8.2	1.50475	-1.50109
8.3	1.56437	-1.50055
8.4	1.56391	-1.56008
8.5	1.6235	-1.55953
8.6	1.62303	-1.61902
8.7	1.68257	-1.61848
8.8	1.6821	-1.67793
8.9	1.7416	-1.61755
9	1.74112	-1.67698
9.1	1.74064	-1.73641
9.2	1.8001	-1.73587
9.3	1.79963	-1.79525
9.4	1.85905	-1.79472
9.5	1.85857	-1.79435
9.6	1.85809	-1.85371
9.7	1.91749	-1.85319
9.8	1.91703	-1.91252
9.9	1.91655	-1.97186
10	2.03587	-1.91168
10.1	2.0354	-1.97099
10.2	2.03494	-2.0303
10.3	2.09423	-2.02984
10.4	2.09379	-2.02949
10.5	2.09334	-2.0888
10.6	2.15263	-2.08835
10.7	2.21204	-2.14765
10.8	2.2116	-2.14733
10.9	2.27085	-2.14692
11	2.27042	-2.20622
11.1	2.26999	-2.26551
11.2	2.32938	-2.26522
11.3	2.38861	-2.26488
11.4	2.38819	-2.32419
11.5	2.38779	-2.38348
11.6	2.44715	-2.38325
11.7	2.50638	-2.38295
11.8	2.50598	-2.44228
11.9	2.50561	-2.44208
12	2.56495	-2.50143
12.1	2.5646	-2.56078
12.2	2.62382	-2.50102
12.3	2.62349	-2.5604
12.4	2.68282	-2.6198
12.5	2.6825	-2.67919
12.6	2.68218	-2.67909
12.7	2.80108	-2.67897
12.8	2.80078	-2.73841
12.9	2.80049	-2.73836
13	2.85985	-2.79786
13.1	2.8596	-2.85736
13.2	2.85934	-2.85735
13.3	2.97824	-2.85737
13.4	2.97801	-2.8574
13.5	3.03738	-2.91699
13.6	3.03718	-2.97663
13.7	3.037	-2.97671
13.8	3.0964	-3.03638
13.9	3.09623	-3.09608
14	3.21517	-3.0367
14.1	3.21505	-3.09645
14.2	3.21491	-3.15626
14.3	3.27438	-3.15648
14.4	3.2743	-3.21631
14.5	3.33377	-3.21659
14.6	3.33371	-3.27652
14.7	3.39323	-3.33647
14.8	3.3932	-3.33681
14.9	3.39319	-3.39684
15	3.45275	-3.39724
15.1	3.51233	-3.39781
15.2	3.57192	-3.45795
15.3	3.57199	-3.45843
15.4	3.6316	-3.51867
15.5	3.63171	-3.51922
15.6	3.69139	-3.57952
15.7	3.69154	-3.63992
15.8	3.75123	-3.64057
15.9	3.75143	-3.70102
16	3.81118	-3.70171
16.1	3.81141	-3.7623
16.2	3.87121	-3.82292
16.3	3.87149	-3.82372
16.4	3.93133	-3.88446
16.5	3.9912	-3.88534
16.6	3.99154	-3.94621
16.7	4.05147	-4.00712
16.8	4.05187	-4.00811
16.9	4.11184	-4.06914
17	4.1123	-4.07021
17.1	4.17233	-4.13137
17.2	4.23239	-4.13252
17.3	4.23294	-4.19383
17.4	4.29306	-4.25519
17.5	4.29367	-4.25647
17.6	4.35385	-4.31798
17.7	4.35452	-4.31932
17.8	4.41477	-4.38097
17.9	4.47507	-4.3824
18	4.47581	-4.44422
18.1	4.53617	-4.50611
18.2	4.59658	-4.5077
18.3	4.59744	-4.56975
18.4	4.65793	-4.57142
18.5	4.65885	-4.63364
18.6	4.7194	-4.6354
18.7	4.77999	-4.69779
18.8	4.78104	-4.69966
18.9	4.84172	-4.76218
19	4.90244	-4.82483
19.1	4.9036	-4.82688
19.2	4.96443	-4.88971
19.3	5.02527	-4.89186
19.4	5.02656	-4.95488
19.5	5.08752	-4.95713
19.6	5.08842	-5.08044
19.7	5.08978	-5.14379
19.8	5.15087	-5.14626
19.9	5.21202	-5.20978
20	5.2732	-5.21238
20.1	5.27476	-5.27612
20.2	5.33606	-5.27883
20.3	5.39742	-5.34279
20.4	5.39912	-5.34561
20.5	5.46056	-5.40978
20.6	5.5221	-5.47409
20.7	5.58369	-5.47714
20.8	5.58558	-5.54165
20.9	5.64728	-5.54481
21	5.6486	-5.67003
21.1	5.65058	-5.67338
21.2	5.71246	-5.73841
21.3	5.7744	-5.80357
21.4	5.83639	-5.80716
21.5	5.8386	-5.87257
21.6	5.90073	-5.87627
21.7	5.96294	-5.94195
21.8	6.0252	-5.9458
21.9	6.02763	-6.01176
22	6.02931	-6.13859
22.1	6.09173	-6.14275
22.2	6.15426	-6.20916
22.3	6.21687	-6.21342
22.4	6.21957	-6.28012
22.5	6.28233	-6.28455
22.6	6.34514	-6.35152
22.7	6.40805	-6.41869
22.8	6.47101	-6.42341
22.9	6.47406	-6.49083
23	6.4761	-6.55682
23.1	6.53929	-6.6246
23.2	6.60255	-6.69257
23.3	6.66592	-6.69777
23.4	6.66924	-6.76608
23.5	6.73277	-6.77144
23.6	6.79637	-6.84007
23.7	6.86009	-6.90885
23.8	6.86248	-6.97595
23.9	6.86614	-7.04511
24	6.93003	-7.05105
24.1	6.99409	-7.12055
24.2	7.05818	-7.19029
24.3	7.12241	-7.19654
24.4	7.18671	-7.26662
24.5	7.25113	-7.27305
24.6	7.19359	-7.4052
24.7	7.25815	-7.47591
24.8	7.32281	-7.48272
24.9	7.38755	-7.55381
25	7.45242	-7.62514
25.1	7.51739	-7.63229
25.2	7.58245	-7.70399
25.3	7.5872	-7.77591
25.4	7.59038	-7.84554
25.5	7.65573	-7.91791
25.6	7.72118	-7.92572
25.7	7.78673	-7.99848
25.8	7.8524	-8.07153
25.9	7.91821	-8.0797
26	7.98412	-8.15315
26.1	7.9271	-8.28929
26.2	7.99314	-8.29791
26.3	8.05937	-8.37208
26.4	8.12564	-8.44655
26.5	8.1921	-8.45557
26.6	8.25867	-8.53044
26.7	8.32533	-8.60565
26.8	8.32935	-8.7439
26.9	8.39624	-8.75355
27	8.46324	-8.82954
27.1	8.53036	-8.90577
27.2	8.53678	-8.91589
27.3	8.60415	-8.99262
27.4	8.67165	-9.06964
27.5	8.67611	-9.21015
27.6	8.74382	-9.22094
27.7	8.81169	-9.29879
27.8	8.87971	-9.37696
27.9	8.94783	-9.38826
28	9.01612	-9.46693
28.1	9.08453	-9.5459
28.2	9.15307	-9.62525
28.3	9.15808	-9.70086
28.4	9.2269	-9.78074
28.5	9.29581	-9.86099
28.6	9.36492	-9.94154
28.7	9.37287	-10.0225
28.8	9.44223	-10.0354
28.9	9.51175	-10.1168
29	9.51726	-10.2627
29.1	9.58701	-10.3449
29.2	9.65691	-10.4275
29.3	9.72698	-10.4414
29.4	9.79723	-10.5245
29.5	9.86759	-10.608
29.6	9.93813	-10.6919
29.7	10.0088	-10.7761
29.8	10.015	-10.9254
29.9	10.086	-10.9405
30	10.1571	-11.0258
30.1	10.2284	-11.1115
30.2	10.2999	-11.1975
30.3	10.3715	-11.2839
30.4	10.4433	-11.3707
30.5	10.5153	-11.4579
30.6	10.5222	-11.6108
30.7	10.5945	-11.6988
30.8	10.6669	-11.7873
30.9	10.7395	-11.8762
31	10.8123	-11.894
31.1	10.8853	-11.9835
31.2	10.9584	-12.0734
31.3	11.0318	-12.1638
31.4	11.1053	-12.2546
31.5	11.1131	-12.4118
31.6	11.1869	-12.5035
31.7	11.2609	-12.5957
31.8	11.3351	-12.6883
31.9	11.4095	-12.7813
32	11.4841	-12.8748
32.1	11.5589	-12.9688
32.2	11.6339	-13.0631
32.3	11.7091	-13.2318
32.4	11.7178	-13.394
32.5	11.7933	-13.49
32.6	11.869	-13.5865
32.7	11.9449	-13.6834
32.8	12.021	-13.7809
32.9	12.0974	-13.8787
33	12.1739	-13.9771
33.1	12.2507	-14.1513
33.2	12.3276	-14.2508
33.3	12.4676	-14.3508
33.4	12.545	-14.4513
33.5	12.6226	-14.5524
33.6	12.6327	-14.7981
33.7	12.7107	-14.9004
33.8	12.7889	-15.0032
33.9	12.8674	-15.1064
34	12.946	-15.2875
34.1	13.0249	-15.3921
34.2	13.1041	-15.4971
34.3	13.1834	-15.6806
34.4	13.2631	-15.7869
34.5	13.3429	-15.8937
34.6	13.423	-16.0797
34.7	13.5032	-16.1878
34.8	13.5838	-16.2964
34.9	13.6646	-16.4849
35	13.7456	-16.5948
35.1	13.8903	-16.7851
35.2	13.9719	-16.8963
35.3	14.0537	-17.0885
35.4	14.1357	-17.201
35.5	14.218	-17.395
35.6	14.3006	-17.5089
35.7	14.3834	-17.7047
35.8	14.4665	-17.9015
35.9	14.5499	-18.0176
36	14.6334	-18.2163
36.1	14.7173	-18.4161
