elevation	error1	error2
0.1	-0.0629728	0
0.2	-0.0629735	0.0629737
0.3	-0.125949	0.0629748
0.4	-0.0629757	0.125953
0.5	-0.125954	0.125957
0.6	-0.125958	0.125961
0.7	-0.125963	0.125968
0.8	-0.188952	0.188963
0.9	-0.188963	0.188973
1	-0.251962	0.188985
1.1	-0.188981	0.251996
1.2	-0.188994	0.252016
1.3	-0.25201	0.252037
1.4	-0.25203	0.252059
1.5	-0.315061	0.252085
1.6	-0.315091	0.252111
1.7	-0.315123	0.315181
1.8	-0.315144	0.378255
1.9	-0.315181	0.3783
2	-0.315219	0.37835
2.1	-0.3783	0.378402
2.2	-0.37835	0.378457
2.3	-0.378402	0.378517
2.4	-0.441524	0.378574
2.5	-0.441591	0.378635
2.6	-0.378554	0.441807
2.7	-0.441706	0.441884
2.8	-0.441781	0.441965
2.9	-0.441858	0.442048
3	-0.505058	0.505314
3.1	-0.50515	0.505419
3.2	-0.50525	0.505521
3.3	-0.568497	0.505634
3.4	-0.505419	0.568942
3.5	-0.505521	0.569074
3.6	-0.568817	0.569209
3.7	-0.568942	0.569345
3.8	-0.569074	0.569489
3.9	-0.632428	0.569632
4	-0.63258	0.569785
4.1	-0.632738	0.569935
4.2	-0.632844	0.633405
4.3	-0.633008	0.696976
4.4	-0.633176	0.697175
4.5	-0.633349	0.697382
4.6	-0.696842	0.697589
4.7	-0.697038	0.697804
4.8	-0.697245	0.698017
4.9	-0.760818	0.698244
5	-0.761048	0.698474
5.1	-0.761279	0.698705
5.2	-0.698017	0.762439
5.3	-0.76168	0.762698
5.4	-0.761933	0.762964
5.5	-0.76218	0.826896
5.6	-0.825929	0.827198
5.7	-0.82621	0.827506
5.8	-0.826496	0.827811
5.9	-0.826797	0.828126
6	-0.89066	0.828453
6.1	-0.890989	0.82878
6.2	-0.891323	0.829109
6.3	-0.827917	0.893196
6.4	-0.891886	0.893563
6.5	-0.89224	0.957856
6.6	-0.892588	0.958267
6.7	-0.892951	0.95868
6.8	-0.95706	0.959099
6.9	-0.957459	0.95952
7	-0.957856	0.959959
7.1	-0.958267	0.960399
7.2	-1.02252	0.960843
7.3	-1.02296	0.961294
7.4	-1.02342	1.02595
7.5	-1.02388	1.02644
7.6	-1.08829	1.02694
7.7	-1.08879	1.02745
7.8	-1.02513	1.09213
7.9	-1.02562	1.09267
8	-1.09016	1.09323
8.1	-1.09068	1.15824
8.2	-1.09122	1.15884
8.3	-1.09176	1.15945
8.4	-1.09231	1.16006
8.5	-1.15704	1.1607
8.6	-1.15763	1.16134
8.7	-1.15824	1.16197
8.8	-1.15884	1.22734
8.9	-1.15945	1.22802
9	-1.2244	1.22873
9.1	-1.22507	1.22944
9.2	-1.22574	1.23015
9.3	-1.22642	1.23087
9.4	-1.22711	1.29654
9.5	-1.2923	1.29733
9.6	-1.29302	1.29811
9.7	-1.29377	1.2989
9.8	-1.29452	1.2997
9.9	-1.29528	1.36567
10	-1.29603	1.36653
10.1	-1.3615	1.36741
10.2	-1.36233	1.36827
10.3	-1.36316	1.36916
10.4	-1.364	1.43544
10.5	-1.36483	1.43638
10.6	-1.36567	1.43734
10.7	-1.43146	1.43829
10.8	-1.43237	1.50484
10.9	-1.43327	1.50587
11	-1.43421	1.50688
11.1	-1.50053	1.44253
11.2	-1.50151	1.50933
