elevation	error1	error2
0.1	0	0.944639
0.2	0	1.2596
0.3	0	1.44863
0.4	0	1.63769
0.5	0	1.76381
0.6	0	1.82695
0.7	0	1.95315
0.8	0	2.01636
0.9	0	2.14266
1	0	2.20594
1.1	0	2.33225
1.2	0	2.39562
1.3	0	2.45902
1.4	-2.45645	2.52246
1.5	-2.58252	2.58594
1.6	-2.64564	2.58632
1.7	-2.70877	2.64988
1.8	-2.70889	2.77653
1.9	-2.77205	2.84019
2	-2.83524	2.84068
2.1	-2.89845	2.90443
2.2	-2.8987	2.96824
2.3	-2.96195	2.96882
2.4	-3.02523	3.03271
2.5	-3.08854	3.03335
2.6	-3.08876	3.16045
2.7	-3.1521	3.22451
2.8	-3.15248	3.22525
2.9	-3.21588	3.28941
3	-3.27931	3.29023
3.1	-3.34277	3.3545
3.2	-3.34325	3.35536
3.3	-3.40676	3.41975
3.4	-3.40711	3.48388
3.5	-3.47068	3.54839
3.6	-3.47125	3.54941
3.7	-3.53488	3.55045
3.8	-3.59855	3.61513
3.9	-3.59921	3.61623
4	-3.66294	3.68103
4.1	-3.72671	3.68221
4.2	-3.66415	3.81045
4.3	-3.72797	3.81172
4.4	-3.72876	3.81302
4.5	-3.79266	3.87815
4.6	-3.8566	3.87952
4.7	-3.85748	3.9448
4.8	-3.92151	3.94624
4.9	-3.92245	3.94771
5	-3.98655	4.01318
5.1	-3.98756	4.01473
5.2	-3.98824	4.14384
5.3	-4.05246	4.14549
5.4	-4.05355	4.14718
5.5	-4.11784	4.21302
5.6	-4.119	4.21478
5.7	-4.18338	4.21658
5.8	-4.1846	4.28263
5.9	-4.24909	4.28451
6	-4.25038	4.35073
6.1	-4.31495	4.3527
6.2	-4.31631	4.35469
6.3	-4.31724	4.48488
6.4	-4.31865	4.48699
6.5	-4.38339	4.48912
6.6	-4.38487	4.55582
6.7	-4.44972	4.55805
6.8	-4.45128	4.62494
6.9	-4.51623	4.62726
7	-4.51786	4.62961
7.1	-4.58291	4.69674
7.2	-4.58462	4.69917
7.3	-4.64978	4.70165
7.4	-4.65157	4.76904
7.5	-4.65339	4.7716
7.6	-4.71872	4.83918
7.7	-4.72062	4.84184
7.8	-4.72189	4.90869
7.9	-4.72384	4.97656
8	-4.78937	4.97939
8.1	-4.7914	4.98225
8.2	-4.79346	5.05038
8.3	-4.85916	5.05334
8.4	-4.86131	5.12168
8.5	-4.92712	5.12474
8.6	-4.92934	5.12784
8.7	-4.93161	5.19646
8.8	-4.9976	5.19965
8.9	-4.99996	5.26849
9	-5.06608	5.27181
9.1	-5.06851	5.27513
9.2	-5.07098	5.34425
9.3	-5.1373	5.34769
9.4	-5.13986	5.41703
9.5	-5.2063	5.42059
9.6	-5.20895	5.42417
9.7	-5.21163	5.49381
9.8	-5.27828	5.4975
9.9	-5.28105	5.56736
10	-5.28384	5.57118
10.1	-5.3507	5.64127
10.2	-5.3536	5.64519
10.3	-5.35652	5.71551
10.4	-5.42359	5.71953
10.5	-5.4266	5.7236
10.6	-5.42966	5.79425
10.7	-5.49692	5.79843
10.8	-5.50008	5.8693
10.9	-5.50326	5.8736
11	-5.57075	5.94472
11.1	-5.63942	5.88373
11.2	-5.64278	5.95506
11.3	-5.71053	5.95953
11.4	-5.71399	6.0311
11.5	-5.71748	6.03571
11.6	-5.72101	6.10751
11.7	-5.78905	6.11224
11.8	-5.79268	6.1843
11.9	-5.79634	6.25654
12	-5.8646	6.26146
12.1	-5.86837	6.33394
12.2	-5.87217	6.339
12.3	-5.94197	6.34577
12.4	-6.01059	6.35089
12.5	-6.01458	6.42385
12.6	-6.01859	6.49698
12.7	-6.02266	6.5023
12.8	-6.09158	6.57569
12.9	-6.09574	6.58115
13	-6.09994	6.65479
13.1	-6.17055	6.66224
13.2	-6.17485	6.66786
13.3	-6.24423	6.7419
13.4	-6.24865	6.81612
13.5	-6.25311	6.82196
13.6	-6.25761	6.89644
13.7	-6.39402	6.90441
13.8	-6.39868	6.91039
13.9	-6.40336	6.98529
14	-6.40809	7.06036
14.1	-6.41284	7.06657
14.2	-6.55001	7.07491
14.3	-6.55494	7.15039
14.4	-6.55989	7.22603
14.5	-6.56488	7.23251
14.6	-6.63716	7.24119
14.7	-6.64226	7.31727
14.8	-6.71304	7.39352
14.9	-6.71828	7.40024
15	-6.79103	7.40929
15.1	-6.79639	7.48593
15.2	-6.80177	7.56279
15.3	-6.80719	7.6398
15.4	-6.8804	7.64928
15.5	-6.88595	7.72663
15.6	-6.95752	7.73384
15.7	-7.03115	7.74353
15.8	-7.03689	7.82129
15.9	-7.04269	7.89924
16	-7.11667	7.90924
16.1	-7.12258	7.98751
16.2	-7.12854	8.06596
16.3	-7.20287	8.07626
16.4	-7.20896	8.15504
16.5	-7.21508	8.23402
16.6	-7.28979	8.2446
16.7	-7.29603	8.32389
16.8	-7.4376	8.33466
16.9	-7.44402	8.41427
17	-7.51935	8.4252
17.1	-7.52588	8.57687
17.2	-7.53248	8.65708
17.3	-7.60818	8.66842
17.4	-7.61489	8.74896
17.5	-7.69088	8.76046
17.6	-7.69772	8.91354
17.7	-7.77397	8.92532
17.8	-7.78096	9.00656
17.9	-7.85749	9.0185
18	-7.86461	9.17272
18.1	-7.94144	9.18491
18.2	-7.94868	9.2669
18.3	-8.02578	9.35223
18.4	-8.1031	9.36469
18.5	-8.04304	9.52041
18.6	-8.12055	9.53315
18.7	-8.12811	9.61608
18.8	-8.20592	9.70245
18.9	-8.28394	9.78907
19	-8.2917	9.87265
19.1	-8.37	9.95975
19.2	-8.44849	9.97312
19.3	-8.45651	10.1313
19.4	-8.53529	10.2191
19.5	-8.61426	10.2328
19.6	-8.55428	10.3919
19.7	-8.63349	10.4804
19.8	-8.71291	10.5691
19.9	-8.79249	10.6581
20	-8.80097	10.8186
20.1	-8.88085	10.8331
20.2	-8.89234	10.9227
20.3	-8.97256	11.0126
20.4	-9.05296	11.1781
20.5	-9.13355	11.2685
20.6	-9.21434	11.3592
20.7	-9.15443	11.522
20.8	-9.23547	11.6132
20.9	-9.31669	11.7806
21	-9.3981	11.8724
21.1	-9.41048	11.9643
21.2	-9.4922	12.1329
21.3	-9.57413	12.2254
21.4	-9.65627	12.3947
21.5	-9.66906	12.5645
21.6	-9.75147	12.6578
21.7	-9.90706	12.7554
21.8	-9.92025	12.9263
21.9	-10.0033	13.0976
22	-10.0865	13.2694
22.1	-10.1	13.4416
22.2	-10.1836	13.6141
22.3	-10.2707	13.7914
22.4	-10.3547	13.9648
22.5	-10.4388	14.2168
22.6	-10.5267	14.3172
22.7	-10.6113	14.5703
22.8	-10.6255	14.824
22.9	-10.7845	15.0041
23	-10.799	15.259
23.1	-10.9587	15.44
23.2	-10.9734	15.775
23.3	-11.1337	15.957
23.4	-11.1486	16.2935
23.5	-11.3095	16.556
23.6	-11.3247	16.9739
23.7	-11.4862	17.2378
23.8	-11.5768	17.5823
23.9	-11.6676	17.9275
24	-11.7547	18.4294
24.1	-11.8459	18.7763
24.2	-12.0091	19.2854
24.3	-12.1008	19.7956
24.4	-12.1928	20.3069
24.5	-12.357	20.9817
24.6	-12.4495	21.658
24.7	-12.5422	22.4172
24.8	-12.6352	23.3413
24.9	-12.8006	24.5128
25	-12.9707	25.856
25.1	-13.0645	28.0999
25.2	-13.1584	NaN
25.3	-13.3295	NaN
25.4	-13.4968	NaN
25.5	-13.6688	NaN
25.6	-13.8412	NaN
25.7	-13.9365	NaN
25.8	-14.1096	NaN
25.9	-14.2831	NaN
26	-14.4571	NaN
26.1	-14.6314	NaN
26.2	-14.8061	NaN
26.3	-15.0596	NaN
26.4	-15.2352	NaN
26.5	-15.4111	NaN
26.6	-15.6662	NaN
26.7	-15.9218	NaN
26.8	-16.104	NaN
26.9	-16.3607	NaN
27	-16.618	NaN
27.1	-16.8759	NaN
27.2	-17.1393	NaN
27.3	-17.478	NaN
27.4	-17.8174	NaN
27.5	-18.0828	NaN
27.6	-18.4236	NaN
27.7	-18.7703	NaN
27.8	-19.1929	NaN
27.9	-19.6218	NaN
28	-20.0462	NaN
28.1	-20.5577	NaN
28.2	-21.146	NaN
28.3	-21.6597	NaN
28.4	-22.337	NaN
28.5	-23.1733	NaN
28.6	-24.0168	NaN
28.7	-25.0256	NaN
28.8	-26.2821	NaN
28.9	-28.0336	NaN
