elevation	error1	error2
0.1	0.0629729	0
0.2	0.0629736	0
0.3	0.0629741	-0.12595
0.4	0.0629755	-0.125953
0.5	0.125954	-0.125957
0.6	0.125958	-0.125962
0.7	0.188944	-0.125968
0.8	0.188953	-0.125974
0.9	0.188963	-0.125981
1	0.18897	-0.25198
1.1	0.188982	-0.251998
1.2	0.251992	-0.252018
1.3	0.252011	-0.252038
1.4	0.252031	-0.252062
1.5	0.315061	-0.252088
1.6	0.315093	-0.252113
1.7	0.252094	-0.315172
1.8	0.315147	-0.315208
1.9	0.315183	-0.315247
2	0.378257	-0.378355
2.1	0.378306	-0.378405
2.2	0.378355	-0.378461
2.3	0.441464	-0.37852
2.4	0.378442	-0.441664
2.5	0.3785	-0.441736
2.6	0.441642	-0.441809
2.7	0.441709	-0.44189
2.8	0.441785	-0.441969
2.9	0.504972	-0.442053
3	0.505063	-0.442142
3.1	0.505158	-0.442231
3.2	0.505221	-0.568702
3.3	0.505321	-0.568827
3.4	0.505423	-0.568954
3.5	0.568702	-0.569083
3.6	0.568827	-0.569216
3.7	0.568954	-0.569355
3.8	0.569083	-0.569495
3.9	0.632437	-0.569644
4	0.632592	-0.569791
4.1	0.569449	-0.633243
4.2	0.632853	-0.633418
4.3	0.63302	-0.633593
4.4	0.63319	-0.633774
4.5	0.696664	-0.697394
4.6	0.696854	-0.697605
4.7	0.697057	-0.697813
4.8	0.760607	-0.698033
4.9	0.760835	-0.698255
5	0.697605	-0.761946
5.1	0.697813	-0.762199
5.2	0.761451	-0.762457
5.3	0.761695	-0.762719
5.4	0.761946	-0.762986
5.5	0.762199	-0.763262
5.6	0.825947	-0.763538
5.7	0.826232	-0.827522
5.8	0.826518	-0.827834
5.9	0.890368	-0.828147
6	0.827014	-0.89214
6.1	0.827312	-0.892496
6.2	0.827624	-0.89285
6.3	0.891569	-0.893216
6.4	0.891909	-0.893584
6.5	0.892256	-0.893966
6.6	0.892612	-0.894339
6.7	0.956693	-0.95871
6.8	0.957083	-0.95913
6.9	0.957479	-0.959555
7	0.957885	-0.959993
7.1	1.02211	-0.960426
7.2	1.02255	-0.960865
7.3	1.023	-0.961316
7.4	0.959412	-1.02582
7.5	1.02375	-1.09055
7.6	1.02422	-1.09107
7.7	1.0247	-1.09161
7.8	1.02517	-1.09216
7.9	1.08968	-1.0927
8	1.09019	-1.09327
8.1	1.09071	-1.09383
8.2	1.09125	-1.0944
8.3	1.09179	-1.1595
8.4	1.1565	-1.16012
8.5	1.15708	-1.16074
8.6	1.15768	-1.16137
8.7	1.15828	-1.16202
8.8	1.15888	-1.16268
8.9	1.2238	-1.22807
9	1.22445	-1.22877
9.1	1.22512	-1.22949
9.2	1.22579	-1.2302
9.3	1.22646	-1.23092
9.4	1.29162	-1.23165
9.5	1.29234	-1.29739
9.6	1.29308	-1.29816
9.7	1.29382	-1.29895
9.8	1.29456	-1.29976
9.9	1.29532	-1.30057
10	1.36076	-1.3666
10.1	1.36157	-1.36745
10.2	1.36239	-1.36834
10.3	1.3632	-1.36922
10.4	1.36405	-1.4355
10.5	1.36489	-1.43645
10.6	1.43062	-1.4374
10.7	1.43152	-1.43835
10.8	1.43242	-1.43931
10.9	1.43334	-1.50593
11	1.43427	-1.50695
11.1	1.4352	-1.50799
11.2	1.43613	-1.50903
11.3	1.50224	-1.57593
11.4	1.56877	-1.51151
11.5	1.56981	-1.51259
11.6	1.57088	-1.57966
11.7	1.57194	-1.5808
11.8	1.57301	-1.58195
11.9	1.5741	-1.5831
12	1.5752	-1.65049
12.1	1.57629	-1.65171
12.2	1.57742	-1.65293
12.3	1.64411	-1.72056
12.4	1.64528	-1.72186
12.5	1.71254	-1.65709
12.6	1.71378	-1.72492
12.7	1.71502	-1.72625
12.8	1.7163	-1.72758
12.9	1.71756	-1.79567
13	1.71885	-1.79707
13.1	1.72013	-1.79849
13.2	1.78786	-1.80041
13.3	1.78921	-1.80184
13.4	1.79058	-1.8033
13.5	1.79196	-1.87185
13.6	1.79334	-1.87336
13.7	1.79473	-1.94213
13.8	1.86291	-1.87696
13.9	1.86437	-1.87851
14	1.86585	-1.94748
14.1	1.86733	-1.94912
14.2	1.86883	-2.01831
14.3	1.93739	-1.95295
14.4	1.93896	-2.0223
14.5	1.94054	-2.02402
14.6	1.94213	-2.09357
14.7	2.01104	-2.02807
14.8	2.0127	-2.02983
14.9	2.01436	-2.09963
15	2.01603	-2.10147
15.1	2.0853	-2.10393
15.2	2.08705	-2.10579
15.3	2.08881	-2.17596
15.4	2.15835	-2.17855
15.5	2.16018	-2.18049
15.6	2.16205	-2.25099
15.7	2.16391	-2.25302
15.8	2.16643	-2.25575
15.9	2.1683	-2.25779
16	2.17021	-2.32868
16.1	2.24033	-2.33154
16.2	2.2423	-2.33367
16.3	2.31266	-2.33655
16.4	2.31472	-2.33873
16.5	2.31679	-2.41013
16.6	2.31955	-2.41313
16.7	2.32165	-2.41539
16.8	2.32376	-2.48712
16.9	2.39464	-2.49026
17	2.39681	-2.49262
17.1	2.46794	-2.49577
17.2	2.40194	-2.56795
17.3	2.47325	-2.57122
17.4	2.47554	-2.57369
17.5	2.54707	-2.57698
17.6	2.54944	-2.6496
17.7	2.55261	-2.65303
17.8	2.55501	-2.72595
17.9	2.62696	-2.65905
18	2.62945	-2.73211
18.1	2.63276	-2.73568
18.2	2.63526	-2.80904
18.3	2.70764	-2.81271
18.4	2.64114	-2.88635
18.5	2.71367	-2.89013
18.6	2.78638	-2.8229
18.7	2.78908	-2.89681
18.8	2.79266	-2.90064
18.9	2.7954	-2.97481
19	2.79901	-2.97878
19.1	2.87222	-2.98274
19.2	2.87503	-3.05734
19.3	2.8788	-3.06139
19.4	2.9524	-3.06549
19.5	3.02616	-3.06958
19.6	2.95915	-3.21666
19.7	3.0331	-3.22098
19.8	3.03712	-3.22531
19.9	3.11135	-3.22963
20	3.04416	-3.3053
20.1	3.11856	-3.30973
20.2	3.1227	-3.38681
20.3	3.19741	-3.39138
20.4	3.20168	-3.39595
20.5	3.20487	-3.4723
20.6	3.20916	-3.55001
20.7	3.2843	-3.5548
20.8	3.2887	-3.55962
20.9	3.36413	-3.63777
21	3.36866	-3.64267
21.1	3.44438	-3.72116
21.2	3.44901	-3.72617
21.3	3.45365	-3.80502
21.4	3.52974	-3.81014
21.5	3.5345	-3.88929
21.6	3.53929	-3.89449
21.7	3.61578	-3.97397
21.8	3.62064	-4.05371
21.9	3.69867	-3.98599
22	3.77564	-4.06593
22.1	3.78073	-4.14607
22.2	3.78583	-4.22645
22.3	3.79094	-4.23204
22.4	3.86971	-4.23908
22.5	3.94737	-4.31988
22.6	3.95268	-4.40092
22.7	4.03199	-4.40816
22.8	4.03741	-4.4895
